"Key","Title","Description","CategoryGroupID"
"NL00  ","Nederland, buitenland, niet in te delen","Het totaal van Nederland (NL01), Buitenland (NL98) en Niet in te delen (NL99).

Niet in te delen: door een gebrek aan informatie of door onjuiste informatie is een toedeling aan Nederland of Buitenland niet altijd mogelijk.",
"NL01  ","Nederland","",
"NL98  ","Buitenland",,
"NL99  ","Niet in te delen","Niet in te delen: door een gebrek aan informatie of door onjuiste informatie is een toedeling aan Nederland of Buitenland niet altijd mogelijk.",
"LD01  ","Noord-Nederland (LD)","Noord-Nederland: Groningen, Friesland, Drenthe

LD = Landsdeel

Regionale groepering van provincies. Nederland telt 4 landsdelen.",
"LD02  ","Oost-Nederland (LD)","Oost-Nederland: Overijssel, Flevoland, Gelderland

LD = Landsdeel

Regionale groepering van provincies. Nederland telt 4 landsdelen.",
"LD03  ","West-Nederland (LD)","West-Nederland: Utrecht, Noord-Holland, Zuid-Holland, Zeeland

LD = Landsdeel

Regionale groepering van provincies. Nederland telt 4 landsdelen.",
"LD04  ","Zuid-Nederland (LD)","Zuid-Nederland: Noord-Brabant, Limburg

LD = Landsdeel

Regionale groepering van provincies. Nederland telt 4 landsdelen.",
"PV20  ","Groningen (PV)","PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het
instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12
provincies.",
"PV21  ","Friesland (PV)","PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het
instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12
provincies.",
"PV22  ","Drenthe (PV)","PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het
instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12
provincies.",
"PV23  ","Overijssel (PV)","PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het
instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12
provincies.",
"PV24  ","Flevoland (PV)","PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het
instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12
provincies.",
"PV25  ","Gelderland (PV)","PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het
instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12
provincies.",
"PV26  ","Utrecht (PV)","PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het
instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12
provincies.",
"PV27  ","Noord-Holland (PV)","PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het
instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12
provincies.",
