"ID","TypeGefailleerde","RegioS","Perioden","UitgesprokenFaillissementen_1"
153,"TG07","NL01  ","2009MM01","     563"
154,"TG07","NL01  ","2009MM02","     601"
155,"TG07","NL01  ","2009MM03","     768"
156,"TG07","NL01  ","2009KW01","    1932"
157,"TG07","NL01  ","2009MM04","     717"
158,"TG07","NL01  ","2009MM05","     581"
159,"TG07","NL01  ","2009MM06","     797"
160,"TG07","NL01  ","2009KW02","    2095"
161,"TG07","NL01  ","2009MM07","     731"
162,"TG07","NL01  ","2009MM08","     586"
163,"TG07","NL01  ","2009MM09","     710"
164,"TG07","NL01  ","2009KW03","    2027"
165,"TG07","NL01  ","2009MM10","     621"
166,"TG07","NL01  ","2009MM11","     677"
167,"TG07","NL01  ","2009MM12","     635"
168,"TG07","NL01  ","2009KW04","    1933"
169,"TG07","NL01  ","2009JJ00","    7987"
170,"TG07","NL01  ","2010MM01","     590"
171,"TG07","NL01  ","2010MM02","     632"
172,"TG07","NL01  ","2010MM03","     744"
173,"TG07","NL01  ","2010KW01","    1966"
174,"TG07","NL01  ","2010MM04","     571"
175,"TG07","NL01  ","2010MM05","     473"
176,"TG07","NL01  ","2010MM06","     754"
177,"TG07","NL01  ","2010KW02","    1798"
178,"TG07","NL01  ","2010MM07","     548"
179,"TG07","NL01  ","2010MM08","     590"
180,"TG07","NL01  ","2010MM09","     514"
181,"TG07","NL01  ","2010KW03","    1652"
182,"TG07","NL01  ","2010MM10","     590"
183,"TG07","NL01  ","2010MM11","     651"
184,"TG07","NL01  ","2010MM12","     489"
185,"TG07","NL01  ","2010KW04","    1730"
186,"TG07","NL01  ","2010JJ00","    7146"
187,"TG07","NL01  ","2011MM01","     545"
188,"TG07","NL01  ","2011MM02","     567"
189,"TG07","NL01  ","2011MM03","     620"
190,"TG07","NL01  ","2011KW01","    1732"
191,"TG07","NL01  ","2011MM04","     497"
192,"TG07","NL01  ","2011MM05","     627"
193,"TG07","NL01  ","2011MM06","     478"
194,"TG07","NL01  ","2011KW02","    1602"
195,"TG07","NL01  ","2011MM07","     502"
196,"TG07","NL01  ","2011MM08","     571"
197,"TG07","NL01  ","2011MM09","     582"
198,"TG07","NL01  ","2011KW03","    1655"
199,"TG07","NL01  ","2011MM10","     585"
200,"TG07","NL01  ","2011MM11","     713"
201,"TG07","NL01  ","2011MM12","     567"
202,"TG07","NL01  ","2011KW04","    1865"
203,"TG07","NL01  ","2011JJ00","    6854"
204,"TG07","NL01  ","2012MM01","     766"
205,"TG07","NL01  ","2012MM02","     670"
206,"TG07","NL01  ","2012MM03","     665"
207,"TG07","NL01  ","2012KW01","    2101"
208,"TG07","NL01  ","2012MM04","     667"
209,"TG07","NL01  ","2012MM05","     761"
210,"TG07","NL01  ","2012MM06","     660"
211,"TG07","NL01  ","2012KW02","    2088"
212,"TG07","NL01  ","2012MM07","     807"
213,"TG07","NL01  ","2012MM08","     575"
214,"TG07","NL01  ","2012MM09","     646"
215,"TG07","NL01  ","2012KW03","    2028"
216,"TG07","NL01  ","2012MM10","     815"
217,"TG07","NL01  ","2012MM11","     685"
218,"TG07","NL01  ","2012MM12","     618"
219,"TG07","NL01  ","2012KW04","    2118"
220,"TG07","NL01  ","2012JJ00","    8335"
221,"TG07","NL01  ","2013MM01","     831"
222,"TG07","NL01  ","2013MM02","     827"
223,"TG07","NL01  ","2013MM03","     812"
224,"TG07","NL01  ","2013KW01","    2470"
225,"TG07","NL01  ","2013MM04","     787"
226,"TG07","NL01  ","2013MM05","     886"
227,"TG07","NL01  ","2013MM06","     793"
228,"TG07","NL01  ","2013KW02","    2466"
229,"TG07","NL01  ","2013MM07","     880"
230,"TG07","NL01  ","2013MM08","     680"
231,"TG07","NL01  ","2013MM09","     672"
232,"TG07","NL01  ","2013KW03","    2232"
233,"TG07","NL01  ","2013MM10","     838"
234,"TG07","NL01  ","2013MM11","     674"
235,"TG07","NL01  ","2013MM12","     714"
236,"TG07","NL01  ","2013KW04","    2226"
237,"TG07","NL01  ","2013JJ00","    9394"
