"Key","Title","Description","Status"
"1986MM04","1986 april","","Definitief"
"1986MM05","1986 mei","","Definitief"
"1986MM06","1986 juni","","Definitief"
"1986MM07","1986 juli","","Definitief"
"1986MM08","1986 augustus","","Definitief"
"1986MM09","1986 september","","Definitief"
"1986MM10","1986 oktober","","Definitief"
"1986MM11","1986 november","","Definitief"
"1986MM12","1986 december","","Definitief"
"1987MM01","1987 januari","","Definitief"
"1987MM02","1987 februari","","Definitief"
"1987MM03","1987 maart","","Definitief"
"1987MM04","1987 april","","Definitief"
"1987MM05","1987 mei","","Definitief"
"1987MM06","1987 juni","","Definitief"
"1987MM07","1987 juli","","Definitief"
"1987MM08","1987 augustus","","Definitief"
"1987MM09","1987 september","","Definitief"
"1987MM10","1987 oktober","","Definitief"
"1987MM11","1987 november","","Definitief"
"1987MM12","1987 december","","Definitief"
"1988MM01","1988 januari","","Definitief"
"1988MM02","1988 februari","","Definitief"
"1988MM03","1988 maart","","Definitief"
"1988MM04","1988 april","","Definitief"
"1988MM05","1988 mei","","Definitief"
"1988MM06","1988 juni","","Definitief"
"1988MM07","1988 juli","","Definitief"
"1988MM08","1988 augustus","","Definitief"
"1988MM09","1988 september","","Definitief"
"1988MM10","1988 oktober","","Definitief"
"1988MM11","1988 november","","Definitief"
"1988MM12","1988 december","","Definitief"
"1989MM01","1989 januari","","Definitief"
"1989MM02","1989 februari","","Definitief"
"1989MM03","1989 maart","","Definitief"
"1989MM04","1989 april","","Definitief"
"1989MM05","1989 mei","","Definitief"
"1989MM06","1989 juni","","Definitief"
"1989MM07","1989 juli","","Definitief"
"1989MM08","1989 augustus","","Definitief"
"1989MM09","1989 september","","Definitief"
"1989MM10","1989 oktober","","Definitief"
"1989MM11","1989 november","","Definitief"
"1989MM12","1989 december","","Definitief"
"1990MM01","1990 januari","","Definitief"
"1990MM02","1990 februari","","Definitief"
"1990MM03","1990 maart","","Definitief"
"1990MM04","1990 april","","Definitief"
"1990MM05","1990 mei","","Definitief"
"1990MM06","1990 juni","","Definitief"
"1990MM07","1990 juli","","Definitief"
"1990MM08","1990 augustus","","Definitief"
"1990MM09","1990 september","","Definitief"
"1990MM10","1990 oktober","","Definitief"
"1990MM11","1990 november","","Definitief"
"1990MM12","1990 december","","Definitief"
"1991MM01","1991 januari","","Definitief"
"1991MM02","1991 februari","","Definitief"
"1991MM03","1991 maart","","Definitief"
"1991MM04","1991 april","","Definitief"
"1991MM05","1991 mei","","Definitief"
"1991MM06","1991 juni","","Definitief"
"1991MM07","1991 juli","","Definitief"
"1991MM08","1991 augustus","","Definitief"
"1991MM09","1991 september","","Definitief"
"1991MM10","1991 oktober","","Definitief"
"1991MM11","1991 november","","Definitief"
"1991MM12","1991 december","","Definitief"
"1992MM01","1992 januari","","Definitief"
"1992MM02","1992 februari","","Definitief"
"1992MM03","1992 maart","","Definitief"
"1992MM04","1992 april","","Definitief"
"1992MM05","1992 mei","","Definitief"
"1992MM06","1992 juni","","Definitief"
"1992MM07","1992 juli","","Definitief"
"1992MM08","1992 augustus","","Definitief"
"1992MM09","1992 september","","Definitief"
"1992MM10","1992 oktober","","Definitief"
"1992MM11","1992 november","","Definitief"
"1992MM12","1992 december","","Definitief"
"1993MM01","1993 januari","","Definitief"
"1993MM02","1993 februari","","Definitief"
"1993MM03","1993 maart","","Definitief"
"1993MM04","1993 april","","Definitief"
"1993MM05","1993 mei","","Definitief"
"1993MM06","1993 juni","","Definitief"
"1993MM07","1993 juli","","Definitief"
"1993MM08","1993 augustus","","Definitief"
"1993MM09","1993 september","","Definitief"
"1993MM10","1993 oktober","","Definitief"
"1993MM11","1993 november","","Definitief"
"1993MM12","1993 december","","Definitief"
"1994MM01","1994 januari","","Definitief"
"1994MM02","1994 februari","","Definitief"
"1994MM03","1994 maart","","Definitief"
"1994MM04","1994 april","","Definitief"
"1994MM05","1994 mei","","Definitief"
"1994MM06","1994 juni","","Definitief"
"1994MM07","1994 juli","","Definitief"
"1994MM08","1994 augustus","","Definitief"
"1994MM09","1994 september","","Definitief"
"1994MM10","1994 oktober","","Definitief"
"1994MM11","1994 november","","Definitief"
"1994MM12","1994 december","","Definitief"
"1995MM01","1995 januari","","Definitief"
"1995MM02","1995 februari","","Definitief"
"1995MM03","1995 maart","","Definitief"
"1995MM04","1995 april","","Definitief"
"1995MM05","1995 mei","","Definitief"
"1995MM06","1995 juni","","Definitief"
"1995MM07","1995 juli","","Definitief"
"1995MM08","1995 augustus","","Definitief"
"1995MM09","1995 september","","Definitief"
"1995MM10","1995 oktober","","Definitief"
"1995MM11","1995 november","","Definitief"
"1995MM12","1995 december","","Definitief"
"1996MM01","1996 januari","","Definitief"
"1996MM02","1996 februari","","Definitief"
"1996MM03","1996 maart","","Definitief"
"1996MM04","1996 april","","Definitief"
"1996MM05","1996 mei","","Definitief"
"1996MM06","1996 juni","","Definitief"
"1996MM07","1996 juli","","Definitief"
"1996MM08","1996 augustus","","Definitief"
"1996MM09","1996 september","","Definitief"
"1996MM10","1996 oktober","","Definitief"
"1996MM11","1996 november","","Definitief"
"1996MM12","1996 december","","Definitief"
"1997MM01","1997 januari","","Definitief"
"1997MM02","1997 februari","","Definitief"
"1997MM03","1997 maart","","Definitief"
"1997MM04","1997 april","","Definitief"
"1997MM05","1997 mei","","Definitief"
