"ID","Perioden","Consumentenvertrouwen_1","EconomischKlimaat_2","Koopbereidheid_3","EconomischeSituatieAfgelopen12Maande_4","EconomischSituatieKomende12Maanden_5","FinancieleSituatieAfgelopen12Maanden_6","FinancieleSituatieKomende12Maanden_7","GunstigeTijdVoorGroteAankopen_8"
0,"1986MM04","       2","       6","       0","       6","       5","       0","       1","      -1"
1,"1986MM05","       8","      17","       1","      17","      16","       1","       5","      -2"
2,"1986MM06","      15","      33","       3","      35","      30","       2","      11","      -5"
3,"1986MM07","      20","      45","       4","      49","      41","       4","      12","      -6"
4,"1986MM08","      21","      47","       4","      53","      41","       7","      14","      -7"
5,"1986MM09","      21","      45","       5","      52","      39","       7","      17","      -8"
6,"1986MM10","      21","      45","       6","      52","      39","       8","      17","      -8"
7,"1986MM11","      21","      44","       5","      50","      38","       7","      19","     -10"
8,"1986MM12","      20","      43","       5","      49","      37","       6","      19","     -12"
9,"1987MM01","      22","      45","       6","      51","      39","       8","      20","     -10"
10,"1987MM02","      23","      45","       8","      51","      39","      10","      22","      -8"
11,"1987MM03","      22","      43","       8","      49","      37","      11","      22","      -9"
12,"1987MM04","      10","      15","       7","      23","       7","      10","      15","      -3"
13,"1987MM05","       1","      -2","       4","       3","      -8","       8","      11","      -7"
14,"1987MM06","      -2","     -10","       3","      -7","     -14","       8","       9","      -6"
15,"1987MM07","      -3","     -13","       4","      -9","     -17","       8","      10","      -4"
16,"1987MM08","       2","      -3","       5","      -1","      -5","       7","      12","      -4"
17,"1987MM09","      11","      19","       6","      18","      19","       8","      16","      -6"
18,"1987MM10","       6","       9","       4","      11","       6","       7","      14","     -10"
19,"1987MM11","       4","       4","       3","       9","      -2","       8","      12","     -10"
20,"1987MM12","       1","      -2","       3","       4","      -8","       8","      11","     -11"
21,"1988MM01","      -3","     -13","       4","      -7","     -19","      10","      10","      -9"
22,"1988MM02","      -3","     -14","       5","     -10","     -18","       9","      12","      -7"
23,"1988MM03","       1","      -8","       7","      -4","     -13","      11","      13","      -4"
24,"1988MM04","       5","       2","       7","       3","       1","      11","      16","      -5"
25,"1988MM05","       6","       4","       7","       4","       4","      10","      16","      -5"
26,"1988MM06","       6","       4","       7","       5","       4","      11","      16","      -5"
27,"1988MM07","       9","      10","       9","      11","      10","      11","      18","      -3"
28,"1988MM08","      15","      20","      11","      21","      19","      13","      21","      -1"
29,"1988MM09","      13","      16","      10","      19","      14","      13","      20","      -1"
30,"1988MM10","      14","      22","       9","      24","      21","      11","      19","      -3"
31,"1988MM11","      18","      29","      11","      30","      28","      14","      21","      -2"
32,"1988MM12","      18","      32","       8","      33","      31","      12","      20","      -6"
33,"1989MM01","      20","      34","      10","      37","      31","      14","      20","      -3"
34,"1989MM02","      18","      31","       9","      35","      27","      13","      19","      -4"
35,"1989MM03","      20","      33","      12","      38","      29","      16","      19","       0"
36,"1989MM04","      20","      32","      11","      37","      27","      16","      19","      -1"
37,"1989MM05","      17","      26","      11","      33","      19","      16","      17","       0"
38,"1989MM06","      19","      28","      14","      34","      22","      18","      20","       3"
39,"1989MM07","      23","      35","      15","      40","      29","      20","      22","       4"
40,"1989MM08","      23","      34","      16","      38","      30","      20","      24","       4"
41,"1989MM09","      23","      34","      16","      38","      30","      20","      24","       4"
42,"1989MM10","      24","      35","      17","      40","      29","      21","      26","       5"
43,"1989MM11","      25","      36","      17","      41","      32","      22","      27","       3"
44,"1989MM12","      24","      34","      17","      38","      31","      22","      27","       3"
45,"1990MM01","      23","      34","      16","      37","      31","      20","      26","       2"
46,"1990MM02","      19","      26","      14","      30","      23","      20","      23","       0"
47,"1990MM03","      19","      26","      14","      31","      20","      22","      24","      -3"
48,"1990MM04","      18","      22","      15","      30","      15","      24","      23","      -3"
49,"1990MM05","      16","      17","      15","      24","      10","      25","      22","      -2"
50,"1990MM06","      15","      14","      15","      19","       9","      25","      21","      -2"
51,"1990MM07","      15","      13","      17","      18","       9","      28","      21","       2"
52,"1990MM08","      15","      10","      19","      20","      -1","      29","      21","       6"
53,"1990MM09","       9","      -4","      17","      10","     -17","      27","      18","       5"
54,"1990MM10","       2","     -17","      15","      -3","     -31","      26","      15","       4"
55,"1990MM11","      -5","     -31","      12","     -18","     -44","      23","      12","       0"
56,"1990MM12","      -6","     -32","      12","     -21","     -43","      23","      12","       2"
57,"1991MM01","      -7","     -32","      10","     -16","     -49","      21","      11","      -1"
58,"1991MM02","     -11","     -38","       7","     -21","     -55","      18","       9","      -7"
59,"1991MM03","      -7","     -27","       6","     -22","     -33","      14","      10","      -6"
60,"1991MM04","      -8","     -28","       6","     -25","     -30","      13","      11","      -7"
61,"1991MM05","      -5","     -23","       8","     -22","     -24","      13","      13","      -4"
62,"1991MM06","      -4","     -23","       8","     -22","     -23","      14","      13","      -3"
63,"1991MM07","      -7","     -27","       6","     -27","     -26","      12","      11","      -5"
64,"1991MM08","      -9","     -30","       4","     -31","     -30","      10","      10","      -6"
65,"1991MM09","     -11","     -34","       4","     -34","     -33","      10","       9","      -7"
66,"1991MM10","     -15","     -41","       3","     -40","     -42","      10","       6","      -8"
67,"1991MM11","     -14","     -41","       4","     -41","     -42","      11","       7","      -4"
68,"1991MM12","     -12","     -38","       6","     -36","     -39","      13","       9","      -4"
69,"1992MM01","     -12","     -38","       6","     -35","     -41","      13","       8","      -5"
70,"1992MM02","     -14","     -40","       3","     -40","     -41","       7","       8","      -6"
71,"1992MM03","     -14","     -39","       3","     -39","     -38","       6","      10","      -7"
72,"1992MM04","     -14","     -38","       3","     -40","     -36","       5","      11","      -8"
73,"1992MM05","     -12","     -35","       3","     -38","     -32","       5","      12","      -8"
74,"1992MM06","      -7","     -27","       6","     -30","     -23","       7","      15","      -5"
75,"1992MM07","      -3","     -18","       8","     -22","     -14","       8","      17","      -2"
76,"1992MM08","      -2","     -18","       9","     -22","     -14","       9","      18","      -2"
77,"1992MM09","      -3","     -21","       9","     -23","     -20","      12","      18","      -2"
78,"1992MM10","      -5","     -25","       8","     -26","     -24","      12","      16","      -2"
79,"1992MM11","     -10","     -37","       8","     -36","     -38","      12","      13","      -3"
80,"1992MM12","     -16","     -48","       5","     -49","     -48","      11","      10","      -6"
81,"1993MM01","     -17","     -47","       4","     -51","     -44","      10","       9","      -7"
82,"1993MM02","     -20","     -53","       2","     -60","     -46","       7","       8","     -10"
83,"1993MM03","     -24","     -62","       1","     -70","     -53","       6","       8","     -12"
84,"1993MM04","     -24","     -60","       0","     -70","     -50","       6","       8","     -13"
85,"1993MM05","     -23","     -55","      -1","     -67","     -44","       3","       6","     -14"
86,"1993MM06","     -22","     -53","      -1","     -64","     -41","       4","       5","     -14"
87,"1993MM07","     -22","     -53","      -1","     -65","     -42","       6","       5","     -13"
88,"1993MM08","     -17","     -45","       1","     -59","     -32","       6","       6","      -8"
89,"1993MM09","     -13","     -35","       1","     -50","     -19","       5","       8","      -9"
90,"1993MM10","     -17","     -39","      -2","     -56","     -22","       2","       5","     -12"
91,"1993MM11","     -14","     -34","      -1","     -53","     -15","       3","       6","     -13"
92,"1993MM12","     -16","     -38","       0","     -56","     -21","       4","       5","      -9"
93,"1994MM01","     -17","     -41","       0","     -60","     -22","       5","       4","     -10"
94,"1994MM02","     -14","     -34","       0","     -54","     -14","       5","       4","      -8"
95,"1994MM03","      -9","     -24","       1","     -45","      -3","       5","       4","      -7"
